"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @ProFightLeague: The fight inside the fight. Go deeper with fight Cagenomics pitting women’s lightweights Bobbi Jo Dalziel and @genahfab…",FALSE,0,NA,2019-05-10 01:06:57,FALSE,NA,"1126654826295824385",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SebastioMacedo4",4,TRUE,FALSE,NA,NA
"Car won’t start? Here is what to do: 
https://t.co/MsESLYRBj7",FALSE,0,NA,2019-05-10 01:00:59,FALSE,NA,"1126653322948173829",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","RockStarMRY",0,FALSE,FALSE,NA,NA
"The fight inside the fight. Go deeper with fight Cagenomics pitting women’s lightweights Bobbi Jo Dalziel and… https://t.co/aZSKCK3Ouj",FALSE,10,NA,2019-05-10 00:46:39,TRUE,NA,"1126649719424466944",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ProFightLeague",4,FALSE,FALSE,NA,NA
"RT @ProFightLeague: Breaking down the numbers game with #PFLmma welterweights @andrefialhojr and @Actionman513! Cagenomics Presented by @GE…",FALSE,0,NA,2019-05-10 00:37:53,FALSE,NA,"1126647511312162816",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DialogueFight",2,TRUE,FALSE,NA,NA
"Breaking down the numbers game with #PFLmma welterweights @andrefialhojr and @Actionman513! Cagenomics Presented by… https://t.co/y0pxohK7n5",FALSE,9,NA,2019-05-10 00:37:10,TRUE,NA,"1126647331191959552",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ProFightLeague",2,FALSE,FALSE,NA,NA
"RT @GEICO: More than 40 GEICO associates in San Diego volunteered with @SOSoCal to support the local event competition. #GEICOCares #commun…",FALSE,0,NA,2019-05-09 23:36:59,FALSE,NA,"1126632187057586178",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","fsilva1965",2,TRUE,FALSE,NA,NA
"@LoriMichaelFl @dogsshouldrule The GEICO Gecko???",FALSE,0,"LoriMichaelFl",2019-05-09 23:28:22,FALSE,"1126516981048446976","1126630016190521344","4115699175","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","JimSandersCA",0,FALSE,FALSE,NA,NA
"@ChrisHopperSH Hi there!  Please DM your full name and policy number so we can follow up with you! -Janelle",FALSE,0,"ChrisHopperSH",2019-05-09 23:17:00,FALSE,"1126626569450029061","1126627155968954368","178189726","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","GEICO_Service",0,FALSE,FALSE,NA,NA
"@bishtnkit Please DM us your full name, policy #, and phone # if you would like someone to follow up with you. -Janelle",FALSE,0,"bishtnkit",2019-05-09 22:59:56,FALSE,"1126622294229508096","1126622860221526016","918897210313641984","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","GEICO_Service",0,FALSE,FALSE,NA,NA
"@CoffeeZoey The vehicle must also be rented in your name and/or your spouse's name.  The coverages will extend at t… https://t.co/flFAUd6qvJ",FALSE,0,"CoffeeZoey",2019-05-09 22:53:28,TRUE,"1126620600397594626","1126621235784368128","840953164400582656","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","GEICO_Service",0,FALSE,FALSE,NA,NA
"@CoffeeZoey Your coverages extend to a rental vehicle for 30 days, provided that the vehicle is a private passenger… https://t.co/H63HnH2d3b",FALSE,0,"CoffeeZoey",2019-05-09 22:53:00,TRUE,"1126620600397594626","1126621116141797376","840953164400582656","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","GEICO_Service",0,FALSE,FALSE,NA,NA
"GEICO settling down to enjoy another wonderful WIT event! Thank you @WITWomen! #WomenInTechnology #WomenEmpowered https://t.co/eziCk5fvLD",FALSE,3,NA,2019-05-09 22:48:41,FALSE,NA,"1126620029884280832",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sandranatalie_",1,FALSE,FALSE,NA,NA
"@Kaje_Sponheimer Welcome to our GEICO family! -Janelle",FALSE,1,"Kaje_Sponheimer",2019-05-09 22:19:28,FALSE,"1126612434570108928","1126612678154366976","334803092","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","GEICO_Service",0,FALSE,FALSE,NA,NA
"@FoghornTexas I am sorry to hear that you are having trouble with your claim. I am more than happy to connect you w… https://t.co/TjpLZcXLNN",FALSE,0,"FoghornTexas",2019-05-09 22:05:26,TRUE,"1126608817020710913","1126609146554519552","2730397167","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","GEICO_Service",0,FALSE,FALSE,NA,NA
"@davidrmoulton I am sorry to hear that you are having trouble with your claim. I am more than happy to connect you… https://t.co/vLn7W07F1K",FALSE,0,"davidrmoulton",2019-05-09 21:56:53,TRUE,"1126606317878226949","1126606994889162753","792565","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","GEICO_Service",0,FALSE,FALSE,NA,NA
"@flpd1136 I am sorry for the inconvenience! Please DM us your full name, state, policy number, and phone number so… https://t.co/qo6W5ulcym",FALSE,0,"flpd1136",2019-05-09 21:35:00,TRUE,"1126600974200709128","1126601487403163654","1614281743","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","GEICO_Service",0,FALSE,FALSE,NA,NA
"@ZMPatriot HI, we can take a look into this for you. Please DM us your full name, claim number, and phone number-Michelle",FALSE,0,"ZMPatriot",2019-05-09 20:14:00,FALSE,"1126580723090120705","1126581102632755202","3323451181","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","GEICO_Service",0,FALSE,FALSE,NA,NA
"@__nitttt HI, we can look at your rate. please DM us your full name, state, policy number, and phone number. -Michelle",FALSE,0,"__nitttt",2019-05-09 19:39:00,FALSE,"1126571868826132480","1126572294652997632","2647811267","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","GEICO_Service",0,FALSE,FALSE,NA,NA
"@gamerwolfsix You can email us from https://t.co/mnFVDsOFcF or chat with us on the app.-Michelle",FALSE,0,"gamerwolfsix",2019-05-09 19:36:31,FALSE,"1126570938080878592","1126571671454924801","748633825996070917","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","GEICO_Service",0,FALSE,FALSE,NA,NA
"@ehiwv7277 HI, we take this very serious, so thank you for your information! We will definitely look into this. -Michelle",FALSE,1,"ehiwv7277",2019-05-09 19:20:55,FALSE,NA,"1126567742763687937","3721863260","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","GEICO_Service",0,FALSE,FALSE,NA,NA
"@thewallacebunch Hi, Mike we would lke to look into this for you. Please DM us your policy number and phone number-Michelle",FALSE,0,"thewallacebunch",2019-05-09 19:18:27,FALSE,"1126566648037683200","1126567123323641863","414017923","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","GEICO_Service",0,FALSE,FALSE,NA,NA
"@NoBrainsTRUMP We would be more than happy to look into this. However, we are unable to help without any of your information.",FALSE,0,"NoBrainsTRUMP",2019-05-09 18:00:00,FALSE,"1126546813975134216","1126547382525726723","738242391157706753","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","GEICO_Service",0,FALSE,FALSE,NA,NA
"“Call me for dick not geico”",FALSE,0,NA,2019-05-09 17:42:16,FALSE,NA,"1126542918339125248",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","spaceboy_kenny",0,FALSE,FALSE,NA,NA
"More than 40 GEICO associates in San Diego volunteered with @SOSoCal to support the local event competition.… https://t.co/ncYQK1AL9I",FALSE,6,NA,2019-05-09 17:38:01,TRUE,NA,"1126541846711349250",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","GEICO",2,FALSE,FALSE,NA,NA
"@vattikutibyu @NoBrainsTRUMP We can certainly have a mangager reach out to you. Please DM us your full name, claim… https://t.co/ft9DjtA7hb",FALSE,0,"vattikutibyu",2019-05-09 17:23:02,TRUE,"1079557300816244736","1126538075952250882","482577349","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","GEICO_Service",0,FALSE,FALSE,NA,NA
"@Kali_stell I am sorry to hear about your experience, and we would like to look into this for you. Please DM us you… https://t.co/lDK9zHLnUb",FALSE,0,"Kali_stell",2019-05-09 17:21:56,TRUE,"1126535476628709376","1126537801015681025","1125973272317718528","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","GEICO_Service",0,FALSE,FALSE,NA,NA
"@Jade37676114 Absolutely. May we have your claim number and phone number? -Michelle",FALSE,0,"Jade37676114",2019-05-09 17:20:37,FALSE,"1126534450030968839","1126537470307442689","1110874824216399874","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","GEICO_Service",0,FALSE,FALSE,NA,NA
"@leesalou77 HI, we can certainly look into your rate for you. Please DM us your state, policy number, and phone number. -Michelle",FALSE,0,"leesalou77",2019-05-09 17:08:00,FALSE,"1126533691306663937","1126534294674071553","506141457","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","GEICO_Service",0,FALSE,FALSE,NA,NA
"RT @GEICO: As part of a week-long effort, GEICO associates nationwide participated in giving back to their local communities.  Our Iowa ass…",FALSE,0,NA,2019-05-09 17:04:06,FALSE,NA,"1126533314045673472",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","natcabenefits",7,TRUE,FALSE,NA,NA
